,ODSI,Partner Count
0,Animal Telemetry Network,8
1,Argo,1
2,BlueBRIDGE,14
3,C4ADS Natural Resources Cell,19
4,Canada's Dark Vessel Detection Program,6
5,CCAMLR Data,22
6,Ecologically or Biologically Significant Marine Areas,183
7,Coastal Resilience Mapping Portal,13
8,Coral Reef Sentinels Program,10
9,Coral Triangle Atlas,9
10,ReefBase,39
11,Coriolis Ocean Database for Reanalysis,5
12,SeaDataNet,58
13,Deep Ocean Observing Strategy,11
14,Deep-Ocean Stewardship Initiative,18
15,Digital Twin of the Ocean,5
16,Earth Observing System Data and Information System (EOSDIS) - Ocean Data,14
17,EDF Fisheries Solution Center,1
18,EMODnet,27
19,eOceans,1
20,Global Oceans Biodiversity Initiative (GOBI),47
21,ICES Marine Data,29
22,iMarine Gateway,2
23,International Comprehensive Ocean-Atmospheric Data Set,2
24,International Fisheries Innovation Network,3
25,International Group for Marine Ecological Time Series,6
26,IOC Ocean Data and Information System,1
27,International Seabed Authority DeepData Database,0
28,Land+Ocean Data,10
29,Litterbase,0
30,Lloyds List intelligence (seasearcher),0
31,Mapping Application for Penguin Populations and Projected Dynamics,5
32,Marine Ecological Research Management AID,3
33,Marine Geoscience Data System,5
34,Marine Life 2030: A Global Integrated Marine Biodiversity Information Management and Forecasting System for Sustainable Development and Conservation,52
35,Ocean Data Platform,22
36,Marine Observing Network for the Group on Earth Observations - Biodiversity Observing Networks (GEO-BON) - NAME CHECK NEEDED,7
37,Marine Protection Atlas,56
38,MitoFish,0
39,NOAA U.S. Seafood Import Monitoring Program,0
40,Ocean Biogeographic Information System (OBIS),34
41,Ocean + library,1
42,Ocean Data View,0
43,Ocean Tracking Network,3
44,OceanDataLab,1
45,oceanmind,6
46,OceanPredict,20
47,OceanSITES,22
48,odinafrica,9
49,One Ocean Network for Deep Observation,4
50,Ocean Observatories Initiative - National Science Foundation funded (OOI),3
51,Our Shared Seas,2
52,Pacific Islands Forum Fisheries Agency Regional Fisheries Surveillance Center ,11
53,PANGAEA,3
54,Pew Charitable Trust ‘Eyes on the Sea’,1
55,POGO (Partenrship for Observation of the Global Ocean - Nippon Foundation),57
56,Ram Legacy Stock Assessment Database,6
57,Sea Around US,17
58,Seabird Tracking Database,8
59,Seafood Alliance for Legality and Traceability,22
60,Seafood Watch,3
61,SeaVision - US Navy/ US Department of Transportation,8
62,State of the world's sea turtles,3
63,Sustainability of Marine Ecosystems through global knowledge networks (SMARTNET),9
64,The Fishery Improvement Projects Database,0
65,The Hydrous presents: The Decade of Ocean Empathy,5
66,The Nippon Foundation-GEBCO Seabed 2030 Project,3
67,Traseable,4
68,UNEP World Conservation Monitoring Centre Ocean Data Viewer,1
69,UNESCO International Oceanographic Data and Information Exchange (IODE),6
70,UNESCO IODE Ocean Data Portal,6
71,Universeum Ocean Science Lab,15
72,World Ocean Database - NOAA National Centers for Environmental Information,2
73,World Register of Marine Species,4
74,WWF DETECT - IT,1
